AVERAGE	BEST
0.277273	0.657300
0.247978	0.657300
0.272828	0.657300
0.253944	0.657300
0.248228	0.658066
0.264853	0.658066
0.245193	0.658066
0.270604	0.658066
0.219044	0.658066
0.268092	0.658066
0.246736	0.658066
0.304617	0.658149
0.260995	0.658149
0.233178	0.658149
0.234672	0.658338
0.291589	0.658338
0.230731	0.658338
0.273438	0.659375
0.231014	0.659375
0.272718	0.659375
0.277973	0.659375
0.312744	0.659375
0.291503	0.659375
0.263591	0.659375
0.265058	0.659375
0.323698	0.659375
0.187736	0.659375
0.293271	0.659375
0.272167	0.659375
0.299655	0.659375
0.267600	0.659375
0.293306	0.659375
0.266081	0.659375
0.272855	0.659375
0.289867	0.659375
0.300661	0.659375
0.280417	0.659375
0.256519	0.659382
0.322673	0.661304
0.279907	0.661304
0.280077	0.661304
0.267451	0.661304
0.260114	0.662033
0.277807	0.662033
0.210880	0.662033
0.313924	0.662444
0.285909	0.662444
0.233001	0.662444
0.276587	0.662444
0.288477	0.662677
0.257576	0.662677
0.259243	0.663076
0.296077	0.663076
0.233236	0.663076
0.248028	0.663076
0.250228	0.663076
0.276876	0.663076
0.257989	0.663076
0.301628	0.663076
0.289803	0.663076
0.254454	0.663076
0.236320	0.663076
0.289726	0.663076
0.227063	0.663076
0.287957	0.663076
0.245504	0.663076
0.253627	0.663076
0.280881	0.663076
0.243477	0.663076
0.339224	0.663076
0.261731	0.663076
0.257873	0.663076
0.271960	0.663076
0.260431	0.663076
0.229470	0.663076
0.325504	0.663076
0.286605	0.663076
0.267622	0.663076
0.267850	0.663076
0.225835	0.663076
0.261368	0.663076
0.281062	0.663076
0.296506	0.663076
0.236461	0.663076
0.315859	0.666056
0.334088	0.666056
0.304116	0.666152
0.260377	0.666152
0.273590	0.666152
0.269161	0.666152
0.277803	0.666152
0.252775	0.666152
0.198747	0.666152
0.248910	0.666152
0.269704	0.666152
0.248443	0.666152
0.224844	0.666152
0.239518	0.666152
0.248809	0.666152
0.258987	0.666152
0.337114	0.666152
0.306804	0.666152
0.265925	0.666152
0.247676	0.666152
0.265033	0.666152
0.259394	0.666152
0.309766	0.666152
0.275330	0.666152
0.277029	0.666152
0.317090	0.666218
0.247936	0.666218
0.216706	0.666218
0.237009	0.666218
0.228003	0.666218
0.246784	0.666218
0.269668	0.666218
0.272687	0.666218
0.276704	0.666218
0.259824	0.666218
0.285989	0.666218
0.256572	0.666218
0.297877	0.666218
0.267579	0.666218
0.291754	0.666356
0.307026	0.666356
0.261681	0.776778
0.248380	0.776778
0.272633	0.776778
0.243698	0.776778
0.268454	0.776778
0.204052	0.776778
0.198920	0.776778
0.213638	0.776778
0.252799	0.776778
0.288436	0.887944
0.335021	0.887944
0.359926	0.887944
0.322904	0.887944
0.353862	0.887944
0.265135	0.887944
0.285569	0.887944
0.321214	0.980023
0.298755	0.980023
0.374747	0.980023
0.337244	0.980023
0.364344	0.980023
0.375666	0.991474
0.333535	0.991474
0.412928	0.991474
0.386915	0.998513
0.300316	0.998513
0.293498	0.998513
0.380065	0.998513
0.371897	0.998513
0.445863	0.998513
0.357151	0.998513
0.302387	0.998513
0.353560	0.998513
0.302219	0.998513
0.378172	0.998513
0.410019	0.998513
0.346294	0.998513
0.366302	0.998513
0.442389	0.998513
0.342772	0.999134
0.403099	0.999134
0.492666	0.999144
0.335283	0.999188
0.372916	0.999188
0.377202	0.999188
0.330707	0.999188
0.239899	0.999188
0.358341	0.999188
0.323587	0.999188
0.324006	0.999188
0.292054	0.999188
0.392337	0.999188
0.405662	0.999188
0.354454	0.999188
0.327157	0.999188
0.454893	0.999940
0.295717	0.999940
0.349062	0.999940
0.415434	0.999940
0.344069	0.999940
0.444697	0.999940
0.430122	0.999940
0.352036	0.999940
0.337965	0.999940
0.372188	0.999940
0.345394	0.999940
0.355755	0.999940
0.411385	0.999940
0.349855	0.999940
0.381237	0.999940
0.364998	0.999940
0.435798	0.999940
0.326445	0.999940
0.368837	0.999940
0.353497	0.999940
0.387144	0.999940
0.253209	0.999940
0.316334	0.999965
0.359336	0.999965
0.433871	0.999965
0.389208	0.999965
0.376074	0.999965
0.351398	0.999965
0.344210	0.999965
0.328686	0.999965
0.315066	0.999965
0.410908	0.999965
0.352940	0.999965
0.423219	0.999965
0.338253	0.999965
0.341227	0.999965
0.350319	0.999965
0.465161	0.999965
0.413474	0.999965
0.379331	0.999965
0.421657	0.999965
0.435930	0.999965
0.399462	0.999965
0.466443	0.999965
0.422932	0.999965
0.388065	0.999965
0.408983	0.999965
0.358239	0.999965
0.508490	0.999965
0.342682	0.999965
0.390165	0.999965
0.394637	0.999965
0.386750	0.999965
0.415024	0.999965
0.402697	0.999965
0.327450	0.999965
0.279462	0.999965
0.336258	0.999965
0.434985	0.999965
0.377912	0.999965
0.436250	0.999965
0.345993	0.999965
0.401512	0.999965
0.345577	0.999965
0.327179	0.999965
